"","DATAFLOW","LAST.UPDATE","freq","unit","icd10","age","sex","geo","TIME_PERIOD","OBS_VALUE","OBS_FLAG"
"126","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","CZ",2017,0.55,""
"127","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","CZ",2018,0.48,""
"128","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","CZ",2019,0.63,""
"129","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","CZ",2020,0.55,""
"130","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","CZ",2021,0.53,""
"131","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","CZ",2022,0.58,""
"132","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2000,0.7,""
"133","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2001,0.6,""
"134","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2002,0.7,""
"135","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2003,0.6,""
"136","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2004,0.6,""
"137","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2005,0.5,""
"138","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2006,0.5,""
"139","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2007,0.5,""
"140","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2008,0.5,""
"141","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2009,0.5,""
"142","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2010,0.6,""
"143","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2011,0.47,""
"144","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2012,0.49,""
"145","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2013,0.52,""
"146","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2014,0.46,""
"147","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2015,0.52,""
"148","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2016,0.45,""
"149","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2017,0.4,""
"150","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2018,0.39,""
"151","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2019,0.34,""
"152","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2020,0.41,""
"153","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2021,0.39,""
"154","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DE",2022,0.38,""
"155","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2000,1.1,""
"156","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2001,0.7,""
"157","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2002,0.4,""
"158","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2003,1,""
"159","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2004,0.5,""
"160","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2005,0.6,""
"161","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2006,0.4,""
"162","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2007,0.7,""
"163","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2008,0.5,""
"164","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2009,0.5,""
"165","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2011,0.43,""
"166","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2012,0.24,""
"167","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2013,0.21,""
"168","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2014,0.69,""
"169","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2015,0.45,""
"170","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2016,0.34,""
"171","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2017,0.36,""
"172","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2018,0.43,""
"173","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2019,0.45,""
"174","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2020,0.29,""
"175","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2021,0.35,""
"176","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","DK",2022,0.5,""
"177","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","EE",2000,4.9,""
"178","ESTAT:SDG_16_10(1.0)","21/03/25 11:00:00","A","RT","X85-Y09_Y871","TOTAL","F","EE",2001,6,""
